===================================================================================
       DINAJPUR EDUCATION BOARD — COMPLETE HSC COLLEGE & EIIN MASTER LIST
       Total Verified HSC Institutions: 875 across 8 Districts
===================================================================================


############################# DINAJPUR DISTRICT (166 Institutions) #############################

EIIN       | TYPE                                 | INSTITUTION NAME
127377     | Autonomous School                    | Bir Uttam Shaheed Samad School & College
127483     | Autonomous School And College        | Rangpur Cadet College
131017     | Autonomous School And College        | Siddique Memorial School And College
127702     | General College (HSC)                | Chowdhurani Girl S School And College
127399     | General College (HSC)                | Jafar Gang School And College
127249     | General College (HSC)                | Khaleya Ganjipur School And College
127545     | General College (HSC)                | Khoragach M/L High School And College
127423     | General College (HSC)                | Nish Bethgong Jarimun Nessa School And College
127251     | General College (HSC)                | Thakuradaha School And College
127489     | Government College                   | Carmichael College
127485     | Government College                   | Govt. Begum Rokeya College Rangpur
133547     | Government College                   | Rangpur Govt. City College
127484     | Government College                   | Rangpur Govt. College
133215     | Government Technical And Vocational  | Rangpur Technical School And College ,rangpur
127667     | Non-government College               | Akhira Hat College
127946     | Non-government College               | Amadpur College
127491     | Non-government College               | Anandalok Bidyapith And College
127775     | Non-government College               | Annoda Nagar College
135304     | Non-government College               | Arcadia International College
127233     | Non-government College               | Badarganj College
127234     | Non-government College               | Badarganj Women S College
127663     | Non-government College               | Bairati College
127236     | Non-government College               | Bakshiganj College
127671     | Non-government College               | Balar Hat Adarsha College Rangpur
127669     | Non-government College               | Balar Hat College Rangpur
127941     | Non-government College               | Bhendabari College
131973     | Non-government College               | Boraibari College
127488     | Non-government College               | Chak Ishabpur College
127943     | Non-government College               | Chatra College Rangpur
127670     | Non-government College               | Chharan College
133821     | Non-government College               | Chotra Women S College
127768     | Non-government College               | Devi Chowdhurani College Pirgachha
127940     | Non-government College               | Dhaperhat Monikrishna Sen College
127298     | Non-government College               | Gangachara College
127299     | Non-government College               | Gangachara Women S College
127945     | Non-government College               | Gurjipara College
127356     | Non-government College               | Haragachh College
127360     | Non-government College               | Haragachh Model College
127661     | Non-government College               | Hena Memorial Women S College Rangpur
127978     | Non-government College               | Ikarchali Degree College
127773     | Non-government College               | Itakumari Shibchandra Roy College
137723     | Non-government College               | Itchlarhat Uttor Bonga Model College
135384     | Non-government College               | Kadirabad Women S College
127357     | Non-government College               | Kaunia College
127358     | Non-government College               | Kaunia Women S College
135349     | Non-government College               | Khadija Abedin Chowdhurani College
127944     | Non-government College               | Khalashpir Bangobandhu College
127235     | Non-government College               | Kutubpur College Rangpur
127237     | Non-government College               | Lal Dighi Pirpal College
127939     | Non-government College               | Madarganj College
127482     | Non-government College               | Mahiganj College
132038     | Non-government College               | Mahiyasi Begum Rokeya College
127493     | Non-government College               | Majida Khatun Mohila College
127359     | Non-government College               | Mirbagh College Rangpur
127668     | Non-government College               | Mirzapur Basir Uddin College
127664     | Non-government College               | Mithapukur College
127487     | Non-government College               | Moulana Keramat Ali College
135385     | Non-government College               | Oxbridge College
132045     | Non-government College               | Pakuria Sharif College
127774     | Non-government College               | Paotana Hat College
127666     | Non-government College               | Payrabanda Begum Rokeya Memorial College
127769     | Non-government College               | Pirgachha College
135398     | Non-government College               | Pirgachha Residential Model College
127770     | Non-government College               | Pirgachha Women S College
131935     | Non-government College               | Pirganj College
127942     | Non-government College               | Pirganj Women S College
127492     | Non-government College               | Radha Krishnapur College
127771     | Non-government College               | Rahimuddin Bharasa Women S College Rangpur
135403     | Non-government College               | Ramjan Ali Munshi College
127495     | Non-government College               | Rangpur City College
127486     | Non-government College               | Rangpur Model College
127776     | Non-government College               | Satdorga College
127938     | Non-government College               | Shah Abdur Rouf College Pirganj
127665     | Non-government College               | Shathibari College
127662     | Non-government College               | Shukurer Hat College
127490     | Non-government College               | Shyampur College
131964     | Non-government College               | Tambulpur College
127977     | Non-government College               | Taraganj College
131965     | Non-government College               | Tarok Brommosanskrit College
135274     | Non-government College               | V.I.P Shahadat Hossain College
132040     | Non-government College               | Vendabari Women S College
127494     | Non-government College               | Women S College Lahiri Hat
134937     | Non-government School                | Brighton School & College Rangpur
127420     | Non-government School                | Medical College Public High School, Rangpur
127368     | Non-government School And College    | Begum Jobeda Azizon Girls High School And College
132068     | Non-government School And College    | Biam Model School And College
